Date, Open, High, Low, Close, Volume
09/25/23, 20.65, 20.8255, 20.1701, 20.18, 114909906
09/22/23, 20.18, 20.53, 19.81, 20.47, 133885703
09/21/23, 20.00, 20.50, 19.87, 20.48, 142417109
09/20/23, 18.42, 19.38, 18.35, 19.36, 117823906
09/19/23, 18.97, 19.36, 18.77, 18.89, 107198203
09/18/23, 18.96, 19.0056, 18.58, 18.75, 88867188
09/15/23, 18.08, 18.94, 18.0201, 18.82, 123632492
09/14/23, 18.07, 18.37, 17.73, 17.88, 122032703
09/13/23, 18.48, 18.65, 18.05, 18.30, 120777508
09/12/23, 18.14, 18.55, 17.95, 18.49, 95691664
09/11/23, 18.09, 18.39, 17.82, 17.89, 96232914
09/08/23, 18.63, 18.696, 18.20, 18.54, 99268883
09/07/23, 18.875, 19.035, 18.50, 18.61, 118466703
09/06/23, 17.83, 18.48, 17.79, 18.18, 121062398
09/05/23, 17.90, 18.03, 17.54, 17.72, 88772383
09/01/23, 17.37, 17.99, 17.31, 17.77, 113449297
08/31/23, 17.86, 17.86, 17.45, 17.71, 103774703
08/30/23, 18.115, 18.27, 17.7495, 17.83, 119360797
08/29/23, 19.43, 19.48, 18.07, 18.14, 136765406
08/28/23, 19.35, 19.7992, 19.23, 19.38, 110653602
08/25/23, 20.155, 20.75, 19.5323, 19.82, 214022797
08/24/23, 18.52, 20.32, 18.50, 20.31, 152466094
08/23/23, 19.79, 19.8299, 18.86, 19.03, 132372797
08/22/23, 19.47, 20.09, 19.45, 19.98, 119780398
08/21/23, 20.63, 20.72, 19.76, 19.87, 134094094
08/18/23, 21.38, 21.48, 20.65, 20.88, 164430891
08/17/23, 19.89, 20.86, 19.84, 20.78, 146341203
08/16/23, 19.57, 20.12, 19.32, 20.10, 136794094
08/15/23, 19.03, 19.58, 18.90, 19.46, 116795000
08/14/23, 19.65, 19.77, 18.845, 18.86, 133432297
08/11/23, 19.555, 19.75, 19.24, 19.51, 134328297
08/10/23, 18.75, 19.3701, 18.21, 19.13, 177504297
08/09/23, 18.55, 19.33, 18.53, 19.20, 142522000
08/08/23, 18.50, 19.05, 18.50, 18.59, 119850094
08/07/23, 18.32, 18.67, 18.10, 18.11, 108149602
08/04/23, 18.03, 18.65, 17.69, 18.57, 160826094
08/03/23, 18.58, 18.60, 17.99, 18.32, 141263906
08/02/23, 17.55, 18.37, 17.54, 18.18, 175746297
08/01/23, 17.13, 17.35, 16.96, 17.06, 108086094
07/31/23, 16.925, 17.12, 16.78, 16.91, 86194594
07/28/23, 17.35, 17.42, 16.81, 16.96, 156253500
07/27/23, 17.01, 18.12, 16.78, 17.93, 165865406
07/26/23, 17.75, 18.10, 17.53, 17.76, 122138492
07/25/23, 17.85, 17.86, 17.35, 17.58, 83716648
07/24/23, 17.90, 18.23, 17.75, 17.94, 83615742
07/21/23, 17.52, 18.09, 17.41, 18.03, 132837797
07/20/23, 17.10, 17.9956, 16.90, 17.85, 147420797
07/19/23, 16.53, 16.86, 16.38, 16.66, 119871102
07/18/23, 17.17, 17.43, 16.47, 16.66, 118984000
07/17/23, 17.465, 17.53, 16.95, 17.08, 85791422
07/14/23, 17.48, 17.68, 17.03, 17.55, 120852398
07/13/23, 17.99, 18.08, 17.41, 17.54, 115897398
07/12/23, 18.52, 18.84, 18.23, 18.44, 132918594
07/11/23, 19.38, 19.73, 19.09, 19.16, 88670633
07/10/23, 19.51, 19.92, 19.33, 19.43, 96273891
07/07/23, 19.30, 19.49, 18.79, 19.45, 97547391
07/06/23, 19.39, 19.70, 19.18, 19.24, 104884203
07/05/23, 19.04, 19.04, 18.53, 18.79, 87650734
07/03/23, 18.82, 18.9899, 18.69, 18.79, 42185301
06/30/23, 19.21, 19.27, 18.73, 18.91, 120814492
06/29/23, 19.73, 20.08, 19.62, 19.80, 113976703
06/28/23, 20.07, 20.09, 19.34, 19.65, 132252203
06/27/23, 20.57, 20.70, 19.64, 19.78, 118443398
06/26/23, 20.11, 20.84, 19.65, 20.81, 109697102
06/23/23, 20.08, 20.295, 19.6401, 20.02, 125814203
06/22/23, 20.35, 20.42, 19.41, 19.42, 118944602
06/21/23, 19.51, 20.26, 19.44, 20.09, 125058703
06/20/23, 19.735, 20.06, 19.35, 19.57, 111336305
06/16/23, 18.75, 19.56, 18.73, 19.49, 127622492
06/15/23, 20.03, 20.13, 18.8601, 19.13, 167106406
06/14/23, 20.22, 20.70, 19.74, 19.78, 164829703
06/13/23, 20.21, 20.775, 20.07, 20.22, 141333906
06/12/23, 21.48, 21.66, 20.66, 20.69, 105029102
06/09/23, 21.76, 22.06, 21.19, 21.785, 118439297
06/08/23, 22.81, 22.86, 21.92, 22.05, 106802000
06/07/23, 21.68, 22.96, 21.3111, 22.84, 140847391
06/06/23, 21.82, 22.08, 21.54, 21.72, 93403266
06/05/23, 21.77, 21.89, 21.22, 21.70, 124014000
06/02/23, 21.89, 22.235, 21.51, 21.74, 118637695
06/01/23, 23.07, 23.29, 21.95, 22.22, 117700000
05/31/23, 22.92, 23.28, 22.52, 23.06, 128934203
05/30/23, 22.05, 22.88, 21.82, 22.59, 138132797
05/26/23, 24.58, 24.60, 22.72, 22.91, 164323500
05/25/23, 24.92, 25.53, 24.48, 24.80, 148978797
05/24/23, 26.75, 27.19, 26.39, 26.67, 130940898
05/23/23, 25.70, 26.36, 25.45, 26.27, 111438898
05/22/23, 25.61, 25.62, 25.0646, 25.30, 79910672
05/19/23, 25.33, 25.79, 25.16, 25.56, 115819203
05/18/23, 26.75, 26.76, 25.31, 25.38, 146357906
05/17/23, 27.56, 27.86, 26.66, 26.81, 112424398
05/16/23, 28.11, 28.11, 27.37, 27.81, 99723484
05/15/23, 28.23, 28.64, 27.84, 27.90, 86746461
05/12/23, 27.91, 28.885, 27.80, 28.34, 101486203
05/11/23, 28.16, 28.57, 27.88, 28.04, 109886703
05/10/23, 28.54, 29.22, 28.02, 28.27, 138867594
05/09/23, 29.11, 29.29, 28.87, 29.20, 71202898
05/08/23, 28.99, 29.28, 28.55, 28.64, 76305469
05/05/23, 30.14, 30.25, 28.60, 28.84, 111823000
05/04/23, 30.53, 31.09, 30.19, 30.78, 139372094
05/03/23, 29.74, 30.45, 28.98, 30.42, 152635297
05/02/23, 29.09, 30.30, 29.00, 29.81, 137558703
05/01/23, 29.08, 29.35, 28.68, 29.05, 90197711
04/28/23, 29.62, 29.94, 28.92, 28.96, 138312984
04/27/23, 30.98, 31.19, 29.38, 29.56, 141981500
04/26/23, 31.62, 32.29, 31.15, 32.15, 131519906
04/25/23, 31.43, 32.73, 31.24, 32.69, 131087203
04/24/23, 30.81, 31.58, 30.41, 30.93, 108891297
04/21/23, 30.94, 31.465, 30.50, 30.73, 116245297
04/20/23, 30.97, 31.18, 29.96, 30.81, 141682000
04/19/23, 30.73, 30.76, 29.77, 30.07, 101929297
04/18/23, 29.42, 30.3692, 29.30, 30.02, 91441125
04/17/23, 30.21, 30.79, 29.91, 30.03, 96704953
04/14/23, 30.35, 30.9099, 29.58, 30.07, 141603500
04/13/23, 31.22, 31.2717, 29.75, 29.90, 123564398
04/12/23, 30.32, 31.86, 30.14, 31.69, 145613797
04/11/23, 30.31, 31.03, 30.2916, 30.88, 88190672
04/10/23, 31.09, 31.60, 30.2701, 30.29, 87939188
04/06/23, 31.34, 31.75, 30.08, 30.21, 115603797
04/05/23, 30.22, 31.35, 30.165, 30.84, 118595398
04/04/23, 29.47, 30.24, 29.18, 29.87, 112455508
04/03/23, 29.95, 30.327, 29.50, 29.56, 111048094
03/31/23, 30.825, 30.91, 29.29, 29.36, 139825297
03/30/23, 31.02, 31.41, 30.68, 30.88, 115341695
03/29/23, 32.34, 32.62, 31.54, 31.76, 120130398
03/28/23, 33.215, 34.32, 33.215, 33.55, 110031398
03/27/23, 32.13, 33.29, 31.792, 33.01, 109630602
03/24/23, 32.85, 33.59, 32.31, 32.34, 148686094
03/23/23, 32.625, 33.60, 31.2246, 32.69, 189868000
03/22/23, 32.555, 33.90, 30.98, 33.86, 179685109
03/21/23, 33.52, 34.04, 32.564, 32.74, 105263797
03/20/23, 34.75, 35.51, 34.06, 34.17, 116397508
03/17/23, 34.05, 35.18, 33.24, 34.49, 165131703
03/16/23, 37.32, 37.57, 33.88, 34.02, 174802703
03/15/23, 38.47, 39.03, 36.76, 36.93, 217763297
03/14/23, 38.725, 39.08, 37.22, 37.46, 175521500
03/13/23, 41.90, 42.57, 38.5989, 40.19, 252210297
03/10/23, 39.37, 41.54, 38.75, 41.08, 271059594
03/09/23, 37.26, 39.725, 36.28, 39.45, 162918203
03/08/23, 37.82, 38.54, 37.18, 37.41, 132612797
03/07/23, 36.61, 38.20, 36.26, 37.96, 158288797
03/06/23, 36.27, 36.68, 35.15, 36.60, 116894797
03/03/23, 38.43, 38.64, 36.62, 36.73, 110212000
03/02/23, 41.18, 41.295, 38.78, 39.13, 126643297
03/01/23, 39.25, 40.48, 38.98, 40.07, 135461109
02/28/23, 39.22, 39.35, 38.10, 39.13, 109085297
02/27/23, 38.46, 39.18, 37.892, 38.93, 111308094
02/24/23, 39.83, 40.47, 39.355, 39.79, 155501797
02/23/23, 37.40, 39.55, 37.33, 37.85, 135550703
02/22/23, 38.67, 39.50, 37.99, 38.84, 141230797
02/21/23, 37.72, 38.95, 37.20, 38.87, 125526492
02/17/23, 36.33, 37.38, 36.026, 36.29, 150171812
02/16/23, 35.185, 35.58, 33.85, 35.50, 159103594
02/15/23, 35.015, 35.2399, 33.54, 33.58, 122325102
02/14/23, 35.71, 36.39, 34.02, 34.36, 206435906
02/13/23, 36.36, 36.8192, 34.90, 35.10, 108770305
02/10/23, 36.97, 37.76, 36.21, 36.87, 159423391
02/09/23, 33.665, 36.67, 33.60, 36.13, 154771500
02/08/23, 33.83, 35.40, 33.5101, 35.16, 144684500
02/07/23, 35.64, 36.04, 32.98, 33.38, 194985906
02/06/23, 35.605, 36.04, 34.79, 35.58, 127530305
02/03/23, 35.07, 35.20, 32.72, 34.67, 212508000
02/02/23, 34.45, 34.748, 32.20, 33.01, 216341703
02/01/23, 39.45, 40.28, 35.8301, 36.84, 193695812
01/31/23, 41.17, 41.23, 39.30, 39.36, 99105906
01/30/23, 40.155, 41.32, 39.57, 41.20, 120176602
01/27/23, 40.57, 40.61, 38.00, 38.85, 126202305
01/26/23, 40.91, 42.125, 39.92, 39.99, 122488492
01/25/23, 44.16, 45.29, 42.15, 42.42, 136037703
01/24/23, 42.60, 42.82, 41.61, 42.13, 95815250
01/23/23, 44.44, 44.79, 41.2601, 41.84, 120536203
01/20/23, 47.96, 48.5299, 44.67, 44.79, 108542398
01/19/23, 48.26, 49.45, 47.67, 48.82, 112122602
01/18/23, 44.80, 47.4575, 44.05, 47.34, 122786602
01/17/23, 45.96, 46.52, 44.92, 45.62, 84619469
01/13/23, 48.05, 48.235, 45.69, 45.81, 99362086
01/12/23, 47.27, 49.4899, 46.225, 46.74, 160898094
01/11/23, 49.44, 49.88, 47.40, 47.46, 86712594
01/10/23, 51.93, 52.22, 49.97, 50.03, 97051820
01/09/23, 51.14, 51.67, 48.53, 51.28, 103641906
01/06/23, 55.92, 57.84, 51.53, 52.40, 127988094
01/05/23, 55.49, 57.19, 55.38, 56.93, 101329797
01/04/23, 53.84, 56.39, 53.31, 54.41, 117810797
01/03/23, 52.59, 56.5656, 51.6807, 55.15, 85686750
12/30/22, 55.66, 56.46, 53.96, 54.01, 85882031
12/29/22, 56.24, 56.7371, 53.27, 53.86, 82796609
