Date, Open, High, Low, Close
09/25/23, 5.097, 5.153, 5.097, 5.149
09/22/23, 5.148, 5.153, 5.088, 5.097
09/21/23, 5.191, 5.204, 5.101, 5.148
09/20/23, 5.105, 5.199, 5.041, 5.191
09/19/23, 5.041, 5.131, 5.041, 5.105
09/18/23, 5.037, 5.084, 5.037, 5.041
09/15/23, 5.007, 5.054, 4.998, 5.037
09/14/23, 4.990, 5.037, 4.948, 5.007
09/13/23, 5.041, 5.092, 4.957, 4.990
09/12/23, 4.995, 5.050, 4.982, 5.041
09/11/23, 4.974, 5.016, 4.970, 4.995
09/08/23, 4.953, 4.986, 4.915, 4.974
09/07/23, 5.029, 5.050, 4.945, 4.953
09/06/23, 4.958, 5.054, 4.932, 5.029
09/05/23, 4.870, 4.970, 4.870, 4.958
09/01/23, 4.871, 4.912, 4.770, 4.870
08/31/23, 4.876, 4.904, 4.834, 4.871
08/30/23, 4.926, 4.938, 4.834, 4.876
08/29/23, 5.072, 5.072, 4.888, 4.926
08/28/23, 5.084, 5.111, 5.033, 5.072
08/25/23, 5.014, 5.106, 5.014, 5.084
08/24/23, 4.950, 5.032, 4.950, 5.014
08/23/23, 5.057, 5.061, 4.924, 4.950
08/22/23, 5.018, 5.061, 4.984, 5.057
08/21/23, 4.949, 5.035, 4.932, 5.018
08/18/23, 4.931, 4.949, 4.893, 4.949
08/17/23, 4.965, 5.012, 4.923, 4.931
08/16/23, 4.961, 4.999, 4.897, 4.965
08/15/23, 4.969, 5.020, 4.901, 4.961
08/14/23, 4.893, 4.982, 4.888, 4.969
08/11/23, 4.838, 4.910, 4.804, 4.893
08/10/23, 4.804, 4.867, 4.732, 4.838
08/09/23, 4.758, 4.821, 4.737, 4.804
08/08/23, 4.770, 4.791, 4.724, 4.758
08/07/23, 4.783, 4.858, 4.754, 4.770
08/04/23, 4.887, 4.950, 4.758, 4.783
08/03/23, 4.896, 4.933, 4.866, 4.887
08/02/23, 4.916, 4.937, 4.841, 4.896
08/01/23, 4.858, 4.937, 4.845, 4.916
07/31/23, 4.879, 4.920, 4.837, 4.858
07/28/23, 4.932, 4.953, 4.845, 4.879
07/27/23, 4.858, 4.957, 4.808, 4.932
07/26/23, 4.878, 4.920, 4.820, 4.858
07/25/23, 4.941, 5.003, 4.841, 4.878
07/24/23, 4.859, 4.941, 4.816, 4.941
07/21/23, 4.866, 4.889, 4.816, 4.859
07/20/23, 4.781, 4.879, 4.768, 4.866
07/19/23, 4.764, 4.798, 4.700, 4.781
07/18/23, 4.742, 4.781, 4.662, 4.764
07/17/23, 4.747, 4.781, 4.704, 4.742
07/14/23, 4.649, 4.759, 4.620, 4.747
07/13/23, 4.750, 4.750, 4.603, 4.649
07/12/23, 4.877, 4.886, 4.721, 4.750
07/11/23, 4.851, 4.906, 4.826, 4.877
07/10/23, 4.957, 4.961, 4.847, 4.851
07/07/23, 5.002, 5.032, 4.872, 4.957
07/06/23, 4.955, 5.145, 4.939, 5.002
07/05/23, 4.925, 4.959, 4.884, 4.955
07/04/23, 4.925, 4.925, 4.925, 4.925
07/03/23, 4.895, 4.967, 4.854, 4.925
06/30/23, 4.865, 4.937, 4.841, 4.895
06/29/23, 4.716, 4.903, 4.716, 4.865
06/28/23, 4.887, 4.887, 4.704, 4.716
06/27/23, 4.746, 4.887, 4.654, 4.887
06/26/23, 4.754, 4.772, 4.694, 4.746
06/23/23, 4.800, 4.815, 4.707, 4.754
06/22/23, 4.713, 4.808, 4.688, 4.800
06/21/23, 4.700, 4.760, 4.675, 4.713
06/20/23, 4.720, 4.768, 4.661, 4.700
06/16/23, 4.650, 4.788, 4.643, 4.720
06/15/23, 4.684, 4.786, 4.625, 4.650
06/14/23, 4.683, 4.798, 4.591, 4.684
06/13/23, 4.581, 4.717, 4.485, 4.683
06/12/23, 4.606, 4.641, 4.556, 4.581
06/09/23, 4.538, 4.636, 4.509, 4.606
06/08/23, 4.567, 4.597, 4.479, 4.538
06/07/23, 4.500, 4.621, 4.475, 4.567
06/06/23, 4.458, 4.562, 4.433, 4.500
06/05/23, 4.512, 4.583, 4.424, 4.458
06/02/23, 4.337, 4.537, 4.329, 4.512
06/01/23, 4.411, 4.470, 4.316, 4.337
05/31/23, 4.448, 4.469, 4.353, 4.411
05/30/23, 4.564, 4.606, 4.444, 4.448
05/26/23, 4.542, 4.659, 4.481, 4.564
05/25/23, 4.381, 4.546, 4.361, 4.542
05/24/23, 4.320, 4.402, 4.250, 4.381
05/23/23, 4.341, 4.410, 4.303, 4.320
05/22/23, 4.268, 4.367, 4.218, 4.341
05/19/23, 4.267, 4.345, 4.196, 4.268
05/18/23, 4.169, 4.284, 4.135, 4.267
05/17/23, 4.080, 4.190, 4.059, 4.169
05/16/23, 4.004, 4.114, 3.962, 4.080
05/15/23, 3.996, 4.034, 3.916, 4.004
05/12/23, 3.916, 4.004, 3.878, 3.996
05/11/23, 3.916, 3.950, 3.812, 3.916
05/10/23, 4.029, 4.074, 3.891, 3.916
05/09/23, 3.995, 4.066, 3.958, 4.029
05/08/23, 3.908, 4.008, 3.908, 3.995
05/05/23, 3.805, 3.941, 3.775, 3.908
05/04/23, 3.838, 3.896, 3.661, 3.805
05/03/23, 3.982, 4.003, 3.838, 3.838
05/02/23, 4.143, 4.160, 3.945, 3.982
05/01/23, 4.006, 4.159, 4.006, 4.143
04/28/23, 4.072, 4.118, 4.002, 4.006
04/27/23, 3.945, 4.109, 3.916, 4.072
04/26/23, 3.976, 3.994, 3.855, 3.945
04/25/23, 4.090, 4.108, 3.912, 3.976
04/24/23, 4.175, 4.197, 4.090, 4.090
04/21/23, 4.140, 4.192, 4.086, 4.175
04/20/23, 4.246, 4.263, 4.136, 4.140
04/19/23, 4.207, 4.305, 4.195, 4.246
04/18/23, 4.203, 4.233, 4.152, 4.207
04/17/23, 4.109, 4.211, 4.097, 4.203
04/14/23, 3.983, 4.147, 3.950, 4.109
04/13/23, 3.970, 4.000, 3.904, 3.983
04/12/23, 4.024, 4.075, 3.878, 3.970
04/11/23, 4.016, 4.075, 3.954, 4.024
04/10/23, 3.966, 4.020, 3.929, 4.016
04/07/23, 3.825, 3.978, 3.721, 3.966
04/06/23, 3.804, 3.879, 3.679, 3.825
04/05/23, 3.838, 3.904, 3.693, 3.804
04/04/23, 3.970, 4.040, 3.825, 3.838
04/03/23, 4.027, 4.143, 3.966, 3.970
03/31/23, 4.134, 4.176, 4.019, 4.027
03/30/23, 4.060, 4.183, 4.031, 4.134
03/29/23, 4.072, 4.154, 3.998, 4.060
03/28/23, 4.002, 4.080, 3.900, 4.072
03/27/23, 3.779, 4.031, 3.733, 4.002
03/24/23, 3.846, 3.868, 3.553, 3.779
03/23/23, 3.935, 4.013, 3.762, 3.846
